hp_id,background_freq,sum_freq_across_diseases
HP:0000002,0.00009789,1.270000
HP:0000003,0.00282106,36.600400
HP:0000008,0.00084014,10.900000
HP:0000009,0.00061970,8.040000
HP:0000010,0.00392950,50.981359
HP:0000011,0.00183395,23.793677
HP:0000012,0.00261604,33.940566
HP:0000013,0.00257047,33.349294
HP:0000014,0.00038963,5.055000
HP:0000015,0.00065284,8.470000
HP:0000016,0.00079646,10.333333
HP:0000017,0.00037652,4.885000
HP:0000019,0.00015955,2.070000
HP:0000020,0.00570394,74.002976
HP:0000021,0.00070828,9.189286
HP:0000022,0.00013874,1.800000
HP:0000023,0.01346635,174.712371
HP:0000024,0.00015531,2.015000
HP:0000025,0.00003854,0.170000
HP:0000026,0.00155836,20.218182
HP:0000027,0.00371494,48.197619
HP:0000028,0.03677862,477.165786
HP:0000029,0.00081438,10.565714
HP:0000030,0.00003854,0.340000
HP:0000031,0.00028120,3.648333
HP:0000032,0.00012332,1.600000
HP:0000033,0.00082396,10.690000
HP:0000034,0.00167021,21.669286
HP:0000035,0.00079351,10.295000
HP:0000036,0.00037498,4.865000
HP:0000037,0.00148528,19.270000
HP:0000039,0.00070316,9.122857
HP:0000040,0.00071227,9.240952
HP:0000041,0.00090986,11.804555
HP:0000042,0.00026399,3.425000
HP:0000044,0.00510371,66.215592
HP:0000045,0.00031602,4.100000
HP:0000046,0.00330537,42.883929
HP:0000047,0.01375874,178.505878
HP:0000048,0.00223366,28.979483
HP:0000049,0.00179337,23.267186
HP:0000050,0.00063165,8.195000
HP:0000051,0.00063537,8.243333
HP:0000052,0.00003854,0.170000
HP:0000053,0.00137047,17.780490
HP:0000054,0.01302766,169.020820
HP:0000055,0.00055419,7.190000
HP:0000056,0.00025050,3.250000
HP:0000058,0.00020811,2.700000
HP:0000059,0.00160680,20.846629
HP:0000060,0.00092955,12.060000
HP:0000061,0.00063743,8.270000
HP:0000062,0.00436762,56.665513
HP:0000063,0.00036997,4.800000
HP:0000064,0.00075996,9.859747
HP:0000065,0.00026592,3.450000
HP:0000066,0.00077360,10.036667
HP:0000068,0.00017137,2.223333
HP:0000069,0.00122244,15.860000
HP:0000070,0.00029829,3.870000
HP:0000071,0.00019759,2.563571
HP:0000072,0.00189042,24.526258
HP:0000073,0.00086135,11.175163
HP:0000074,0.00080920,10.498613
HP:0000075,0.00049616,6.437117
HP:0000076,0.00545550,70.779716
HP:0000077,0.00241272,31.302684
HP:0000078,0.00100719,13.067284
HP:0000079,0.00178549,23.165000
HP:0000080,0.00004239,0.550000
HP:0000081,0.00091535,11.875775
HP:0000083,0.01033977,134.148166
HP:0000085,0.00295941,38.395424
HP:0000086,0.00167490,21.730190
HP:0000089,0.00447495,58.057965
HP:0000090,0.00227251,29.483528
HP:0000091,0.00052335,6.790000
HP:0000092,0.00133267,17.290000
HP:0000093,0.01178560,152.906404
HP:0000095,0.00003854,0.500000
HP:0000096,0.00085061,11.035833
HP:0000097,0.00325723,42.259248
HP:0000098,0.00457774,59.391537
HP:0000099,0.00136597,17.722143
HP:0000100,0.00508350,65.953333
HP:0000103,0.00229521,29.778009
HP:0000104,0.00312216,40.506848
HP:0000105,0.00201780,26.178885
HP:0000107,0.00393010,50.989148
HP:0000108,0.00049201,6.383333
HP:0000110,0.00257440,33.400203
HP:0000111,0.00007708,1.000000
HP:0000112,0.00303993,39.440000
HP:0000113,0.00221091,28.684333
HP:0000114,0.00095680,12.413571
HP:0000117,0.00097683,12.673333
HP:0000118,0.00029251,3.795000
HP:0000119,0.00186064,24.140000
HP:0000121,0.00391132,50.745407
HP:0000122,0.00263077,34.131657
HP:0000123,0.00102302,13.272692
HP:0000124,0.00084669,10.985000
HP:0000125,0.00062883,8.158420
HP:0000126,0.00972416,126.161292
HP:0000127,0.00139587,18.110000
HP:0000128,0.00036766,4.770000
HP:0000130,0.00074688,9.690000
HP:0000131,0.00035944,4.663333
HP:0000132,0.00245164,31.807619
HP:0000133,0.00141668,18.380000
HP:0000134,0.00054108,7.020000
HP:0000135,0.00686306,89.041304
HP:0000136,0.00033297,4.320000
HP:0000137,0.00077347,10.035000
HP:0000138,0.00088228,11.446667
HP:0000139,0.00021897,2.840926
HP:0000140,0.00061161,7.935000
HP:0000141,0.00157443,20.426667
HP:0000142,0.00064668,8.390000
HP:0000143,0.00094203,12.221954
HP:0000144,0.00184985,24.000000
HP:0000145,0.00011754,1.525000
HP:0000147,0.00198204,25.715000
HP:0000148,0.00078085,10.130714
HP:0000149,0.00019809,2.570000
HP:0000150,0.00040405,5.242157
HP:0000151,0.00115847,15.030000
HP:0000152,0.00003854,0.399483
HP:0000153,0.00078619,10.200000
HP:0000154,0.01231016,159.712043
HP:0000155,0.00181685,23.571856
HP:0000157,0.00043934,5.700000
HP:0000158,0.00677269,87.868929
HP:0000159,0.00053877,6.990000
HP:0000160,0.01378522,178.849461
HP:0000161,0.00222350,28.847672
HP:0000162,0.00173832,22.552958
HP:0000163,0.00047287,6.135000
HP:0000164,0.01011906,131.284669
HP:0000166,0.00034184,4.435000
HP:0000168,0.00034454,4.470000
HP:0000169,0.00130183,16.890000
HP:0000171,0.00106712,13.844759
HP:0000172,0.00003854,0.195000
HP:0000174,0.00292971,38.010000
HP:0000175,0.02531218,328.400167
HP:0000176,0.00219560,28.485680
HP:0000177,0.00034608,4.490000
HP:0000178,0.00012101,1.570000
HP:0000179,0.00653197,84.745802
HP:0000180,0.00073352,9.516667
HP:0000182,0.00023894,3.100000
HP:0000183,0.00053415,6.930000
HP:0000185,0.00097217,12.612871
HP:0000187,0.00069670,9.038974
HP:0000188,0.00028559,3.705238
HP:0000189,0.00379761,49.270228
HP:0000190,0.00058786,7.626949
HP:0000191,0.00104311,13.533333
HP:0000193,0.00526931,68.364022
HP:0000194,0.00604096,78.375474
HP:0000196,0.00022010,2.855556
HP:0000197,0.00005357,0.695000
HP:0000198,0.00011562,1.500000
HP:0000199,0.00049830,6.465000
HP:0000200,0.00060373,7.832857
HP:0000201,0.00196330,25.471812
HP:0000202,0.00255784,33.185389
HP:0000204,0.00501883,65.114318
HP:0000205,0.00044902,5.825641
HP:0000206,0.00055072,7.145000
HP:0000207,0.00085698,11.118485
HP:0000211,0.00106724,13.846429
HP:0000212,0.00576233,74.760470
HP:0000214,0.00033143,4.300000
HP:0000215,0.00164798,21.380858
HP:0000216,0.00008478,1.100000
HP:0000217,0.00203278,26.373333
HP:0000218,0.03616248,469.172041
HP:0000219,0.01697227,220.198177
HP:0000220,0.00092488,11.999394
HP:0000221,0.00099044,12.850000
HP:0000222,0.00018499,2.400000
HP:0000223,0.00008286,1.075000
HP:0000224,0.00017111,2.220000
HP:0000225,0.00214619,27.844731
HP:0000227,0.00018499,2.400000
HP:0000228,0.00004625,0.600000
HP:0000230,0.00161854,20.998939
HP:0000232,0.00840980,109.108681
HP:0000233,0.00781620,101.407323
HP:0000234,0.00024048,3.120000
HP:0000235,0.00076692,9.950000
HP:0000236,0.00003931,0.510000
HP:0000237,0.00061199,7.940000
HP:0000238,0.01500196,194.635441
HP:0000239,0.00429488,55.721784
HP:0000240,0.00003854,0.000000
HP:0000242,0.00059529,7.723333
HP:0000243,0.00343282,44.537363
HP:0000244,0.00065053,8.440000
HP:0000245,0.00012101,1.570000
HP:0000246,0.00215979,28.021111
HP:0000248,0.01431974,185.784281
HP:0000250,0.00012872,1.670000
HP:0000252,0.07419662,962.626979
HP:0000253,0.00494029,64.095284
HP:0000256,0.02258491,293.016562
HP:0000260,0.00531852,69.002429
HP:0000262,0.00161295,20.926389
HP:0000263,0.00030363,3.939298
HP:0000264,0.00008093,1.050000
HP:0000265,0.00037691,4.890000
HP:0000267,0.00027131,3.520000
HP:0000268,0.00900301,116.805005
HP:0000269,0.00240550,31.208941
HP:0000270,0.00280168,36.349039
HP:0000271,0.00334284,43.370000
HP:0000272,0.01561497,202.588612
HP:0000273,0.00072478,9.403333
HP:0000274,0.00076020,9.862857
HP:0000275,0.00474737,61.592322
HP:0000276,0.01153861,149.701971
HP:0000277,0.00063357,8.220000
HP:0000278,0.01362007,176.706730
HP:0000280,0.01564213,202.940994
HP:0000282,0.00150134,19.478333
HP:0000283,0.00104816,13.598788
HP:0000286,0.03153686,409.159265
HP:0000287,0.00019655,2.550000
HP:0000288,0.00079257,10.282857
HP:0000289,0.00156615,20.319187
HP:0000290,0.00021273,2.760000
HP:0000292,0.00035610,4.620000
HP:0000293,0.00833824,108.180337
HP:0000294,0.00556773,72.235755
HP:0000295,0.00013450,1.745000
HP:0000297,0.00214491,27.828017
HP:0000298,0.00258932,33.593889
HP:0000300,0.00067856,8.803649
HP:0000301,0.00011176,1.450000
HP:0000303,0.01243754,161.364637
HP:0000306,0.00024279,3.150000
HP:0000307,0.00582226,75.537966
HP:0000308,0.00506742,65.744761
HP:0000309,0.00051642,6.700000
HP:0000311,0.00727783,94.422604
HP:0000315,0.00019655,2.550000
HP:0000316,0.05467853,709.399225
HP:0000317,0.00036246,4.702500
HP:0000319,0.01059841,137.503746
HP:0000320,0.00065053,8.440000
HP:0000321,0.00100265,13.008333
HP:0000322,0.01261001,163.602311
HP:0000324,0.00724440,93.988859
HP:0000325,0.01050392,136.277821
HP:0000326,0.00022352,2.900000
HP:0000327,0.00632848,82.105655
HP:0000329,0.00045209,5.865476
HP:0000331,0.00324418,42.089960
HP:0000336,0.00368648,47.828440
HP:0000337,0.01112514,144.337606
HP:0000338,0.00182739,23.708613
HP:0000339,0.00011562,1.500000
HP:0000340,0.00682785,88.584518
HP:0000341,0.00912273,118.358299
HP:0000343,0.02406242,312.185828
HP:0000346,0.00018499,2.400000
HP:0000347,0.04923530,638.778816
HP:0000348,0.01509419,195.832055
HP:0000349,0.00118906,15.426905
HP:0000350,0.00055272,7.170952
HP:0000356,0.00173703,22.536190
HP:0000357,0.00003854,0.500000
HP:0000358,0.02467196,320.093992
HP:0000359,0.00041545,5.390000
HP:0000360,0.00212644,27.588450
HP:0000362,0.00057885,7.510000
HP:0000363,0.00067751,8.790000
HP:0000364,0.00115847,15.030000
HP:0000365,0.03199741,415.134415
HP:0000366,0.00087868,11.400000
HP:0000369,0.04411023,572.286082
HP:0000370,0.00051179,6.640000
HP:0000371,0.00003854,0.340000
HP:0000372,0.00003854,0.415000
HP:0000375,0.00027902,3.620000
HP:0000376,0.00015869,2.058824
HP:0000377,0.00687455,89.190448
HP:0000378,0.00341700,44.332154
HP:0000381,0.00049869,6.470000
HP:0000383,0.00009789,1.270000
HP:0000384,0.00371522,48.201273
HP:0000385,0.00121741,15.794733
HP:0000387,0.00051616,6.696667
HP:0000388,0.00155966,20.235038
HP:0000389,0.00311533,40.418263
HP:0000391,0.00180203,23.379500
HP:0000394,0.00037588,4.876667
HP:0000395,0.00079390,10.300000
HP:0000396,0.00385946,50.072672
HP:0000399,0.00099815,12.950000
HP:0000400,0.01404631,182.236789
HP:0000402,0.00179216,23.251422
HP:0000403,0.01107191,143.646929
HP:0000405,0.00935546,121.377689
HP:0000407,0.03762140,488.100103
HP:0000408,0.00237766,30.847778
HP:0000410,0.00167577,21.741405
HP:0000411,0.00987431,128.109352
HP:0000413,0.00345033,44.764573
HP:0000414,0.01110769,144.111112
HP:0000417,0.00021751,2.821923
HP:0000418,0.00110240,14.302540
HP:0000419,0.00005164,0.670000
HP:0000420,0.00007708,1.000000
HP:0000421,0.00473275,61.402744
HP:0000422,0.00006476,0.840238
HP:0000426,0.01074553,139.412571
HP:0000430,0.00770429,99.955455
HP:0000431,0.02996269,388.735914
HP:0000433,0.00003854,0.170000
HP:0000434,0.00018499,2.400000
HP:0000436,0.00004239,0.550000
HP:0000437,0.00163262,21.181660
HP:0000444,0.00691064,89.658604
HP:0000445,0.00654608,84.928847
HP:0000446,0.00203135,26.354675
HP:0000447,0.00022773,2.954545
HP:0000448,0.00734185,95.253197
HP:0000451,0.00011947,1.550000
HP:0000452,0.00136835,17.753021
