OrphaCode,DiseaseName,HPO_ID,HPO_Term,Weight
58,Alexander disease,HP:0000256,Macrocephaly,0.9
58,Alexander disease,HP:0001249,Intellectual disability,0.9
58,Alexander disease,HP:0001250,Seizure,0.9
58,Alexander disease,HP:0001257,Spasticity,0.9
58,Alexander disease,HP:0001274,Agenesis of corpus callosum,0.9
58,Alexander disease,HP:0001347,Hyperreflexia,0.9
58,Alexander disease,HP:0001355,Megalencephaly,0.9
58,Alexander disease,HP:0001508,Failure to thrive,0.9
58,Alexander disease,HP:0002007,Frontal bossing,0.9
58,Alexander disease,HP:0002017,Nausea and vomiting,0.9
58,Alexander disease,HP:0002167,Abnormality of speech or vocalization,0.9
58,Alexander disease,HP:0002169,Clonus,0.9
58,Alexander disease,HP:0002353,EEG abnormality,0.9
58,Alexander disease,HP:0002360,Sleep abnormality,0.9
58,Alexander disease,HP:0002650,Scoliosis,0.9
58,Alexander disease,HP:0007256,Abnormal pyramidal sign,0.9
58,Alexander disease,HP:0100729,Large face,0.9
58,Alexander disease,HP:0000496,Abnormality of eye movement,0.5
58,Alexander disease,HP:0000508,Ptosis,0.5
58,Alexander disease,HP:0000639,Nystagmus,0.5
58,Alexander disease,HP:0000651,Diplopia,0.5
58,Alexander disease,HP:0000712,Emotional lability,0.5
58,Alexander disease,HP:0000716,Depression,0.5
58,Alexander disease,HP:0000975,Hyperhidrosis,0.5
58,Alexander disease,HP:0001251,Ataxia,0.5
58,Alexander disease,HP:0001260,Dysarthria,0.5
58,Alexander disease,HP:0001288,Gait disturbance,0.5
58,Alexander disease,HP:0001337,Tremor,0.5
58,Alexander disease,HP:0001618,Dysphonia,0.5
58,Alexander disease,HP:0002015,Dysphagia,0.5
58,Alexander disease,HP:0002019,Constipation,0.5
58,Alexander disease,HP:0002045,Hypothermia,0.5
58,Alexander disease,HP:0002381,Aphasia,0.5
58,Alexander disease,HP:0002445,Tetraplegia,0.5
58,Alexander disease,HP:0002514,Cerebral calcification,0.5
58,Alexander disease,HP:0002615,Hypotension,0.5
58,Alexander disease,HP:0002808,Kyphosis,0.5
58,Alexander disease,HP:0010535,Sleep apnea,0.5
58,Alexander disease,HP:0010628,Facial palsy,0.5
58,Alexander disease,HP:0100247,Recurrent singultus,0.5
58,Alexander disease,HP:0000218,High palate,0.1
58,Alexander disease,HP:0000238,Hydrocephalus,0.1
58,Alexander disease,HP:0000470,Short neck,0.1
58,Alexander disease,HP:0000819,Diabetes mellitus,0.1
58,Alexander disease,HP:0000821,Hypothyroidism,0.1
58,Alexander disease,HP:0000822,Hypertension,0.1
58,Alexander disease,HP:0000826,Precocious puberty,0.1
58,Alexander disease,HP:0000938,Osteopenia,0.1
58,Alexander disease,HP:0001252,Hypotonia,0.1
58,Alexander disease,HP:0001324,Muscle weakness,0.1
58,Alexander disease,HP:0001645,Sudden cardiac death,0.1
58,Alexander disease,HP:0002072,Chorea,0.1
58,Alexander disease,HP:0002093,Respiratory insufficiency,0.1
58,Alexander disease,HP:0002376,Developmental regression,0.1
58,Alexander disease,HP:0002383,Infectious encephalitis,0.1
58,Alexander disease,HP:0002410,Aqueductal stenosis,0.1
58,Alexander disease,HP:0002607,Bowel incontinence,0.1
58,Alexander disease,HP:0003307,Hyperlordosis,0.1
58,Alexander disease,HP:0007481,Hyperpigmented nevi,0.1
58,Alexander disease,HP:0012332,Abnormal autonomic nervous system physiology,0.1
58,Alexander disease,HP:0100716,Self-injurious behavior,0.1
